NEIG_TRESH,NEIG_DIST,timestep,sum_breeding
1,6,102,244
1,6,103,190
1,6,104,42
1,6,105,189
1,6,106,293
1,6,107,322
1,6,108,249
1,6,109,1198
1,6,110,1307
1,6,111,1651
1,6,112,896
1,6,113,946
1,6,114,542
1,6,115,244
1,6,116,56
1,6,117,28
1,6,118,126
1,6,119,145
1,6,120,159
1,6,121,764
1,6,122,864
1,6,123,927
1,6,124,740
1,6,125,1202
1,6,126,1277
1,6,127,947
1,6,128,366
1,6,129,355
1,6,130,180
1,6,131,221
1,6,132,92
1,6,133,475
1,6,134,464
1,6,135,441
1,6,136,252
1,6,137,623
1,6,138,647
1,6,139,612
1,6,140,423
1,6,141,868
1,6,142,936
1,6,143,864
1,6,144,607
1,6,145,790
1,6,146,728
1,6,147,559
1,6,148,260
1,6,149,291
1,6,150,287
1,6,151,223
1,6,152,114
1,6,153,147
1,6,154,350
1,6,155,368
1,6,156,459
1,6,157,1218
1,6,158,1346
1,6,159,1396
1,6,160,607
1,6,161,696
1,6,162,585
1,6,163,373
1,6,164,188
1,6,165,88
1,6,166,139
1,6,167,102
1,6,168,144
1,6,169,585
1,6,170,701
1,6,171,847
1,6,172,808
1,6,173,961
1,6,174,925
1,6,175,588
1,6,176,471
1,6,177,449
1,6,178,548
1,6,179,478
1,6,180,420
1,6,181,406
1,6,182,341
1,6,183,285
1,6,184,250
1,6,185,438
1,6,186,478
1,6,187,503
1,6,188,331
1,6,189,536
1,6,190,428
1,6,191,608
1,6,192,556
1,6,193,786
1,6,194,692
1,6,195,591
1,6,196,455
1,6,197,512
1,6,198,487
1,6,199,392
1,6,200,379
1,6,201,486
1,6,202,475
1,6,203,343
1,6,204,407
1,6,205,547
1,6,206,581
1,6,207,587
1,6,208,438
1,6,209,440
1,6,210,447
1,6,211,384
1,6,212,500
1,6,213,339
1,6,214,579
1,6,215,476
1,6,216,554
1,6,217,625
1,6,218,637
1,6,219,643
1,6,220,488
1,6,221,544
1,6,222,463
1,6,223,419
1,6,224,354
1,6,225,368
1,6,226,329
1,6,227,373
1,6,228,458
1,6,229,456
1,6,230,496
1,6,231,517
1,6,232,581
1,6,233,739
1,6,234,685
1,6,235,671
1,6,236,561
1,6,237,506
1,6,238,526
1,6,239,355
1,11,0,728
1,11,1,1169
1,11,2,1488
1,11,3,1054
1,11,4,616
1,11,5,311
1,11,6,214
1,11,7,111
1,11,8,107
1,11,9,226
1,11,10,321
1,11,11,409
1,11,12,504
1,11,13,1773
1,11,14,1578
1,11,15,1780
1,11,16,513
1,11,17,616
1,11,18,200
1,11,19,103
1,11,20,0
1,11,21,0
1,11,22,111
1,11,23,111
1,11,24,111
1,11,25,2094
1,11,26,2094
1,11,27,2094
1,11,28,416
1,11,29,513
1,11,30,513
1,11,31,97
1,11,32,0
1,11,33,0
1,11,34,103
1,11,35,103
1,11,36,103
1,11,37,2205
1,11,38,2205
1,11,39,2205
1,11,40,0
1,11,41,0
1,11,42,0
1,11,43,416
1,11,44,416
1,11,45,416
1,11,46,97
1,11,47,97
1,11,48,97
1,11,49,2308
1,11,50,2308
1,11,51,2308
1,11,52,0
1,11,53,0
1,11,54,0
1,11,55,0
1,11,56,0
1,11,57,0
1,11,58,0
1,11,59,0
1,11,60,0
1,11,61,0
1,11,62,0
1,11,63,0
1,11,64,0
1,11,65,0
1,11,66,0
1,11,67,0
1,11,68,0
1,11,69,0
1,11,70,416
1,11,71,2821
1,11,72,2821
1,11,73,2405
1,11,74,0
1,11,75,0
1,11,76,0
1,11,77,0
1,11,78,0
1,11,79,0
1,11,80,0
1,11,81,0
1,11,82,0
1,11,83,0
1,11,84,0
1,11,85,0
1,11,86,0
1,11,87,0
1,11,88,0
1,11,89,0
1,11,90,0
1,11,91,0
1,11,92,0
1,11,93,0
1,11,94,0
1,11,95,0
1,11,96,0
1,11,97,2821
1,11,98,2821
1,11,99,2821
1,11,100,0
1,11,101,0
1,11,102,0
1,11,103,0
1,11,104,0
1,11,105,0
1,11,106,0
1,11,107,0
1,11,108,0
1,11,109,0
1,11,110,0
1,11,111,0
1,11,112,0
1,11,113,0
1,11,114,0
1,11,115,0
1,11,116,0
1,11,117,0
1,11,118,0
1,11,119,0
1,11,120,0
1,11,121,2821
1,11,122,2821
1,11,123,2821
1,11,124,0
1,11,125,0
1,11,126,0
1,11,127,0
1,11,128,0
1,11,129,0
1,11,130,0
1,11,131,0
1,11,132,0
1,11,133,0
1,11,134,0
1,11,135,0
1,11,136,0
1,11,137,0
1,11,138,0
1,11,139,0
1,11,140,0
1,11,141,0
1,11,142,0
1,11,143,0
1,11,144,0
1,11,145,2821
1,11,146,2821
1,11,147,2821
1,11,148,0
1,11,149,0
1,11,150,0
1,11,151,0
1,11,152,0
1,11,153,0
1,11,154,0
1,11,155,0
1,11,156,0
1,11,157,0
1,11,158,0
1,11,159,0
1,11,160,0
1,11,161,0
1,11,162,0
1,11,163,0
1,11,164,0
1,11,165,0
1,11,166,0
1,11,167,0
1,11,168,0
1,11,169,2821
1,11,170,2821
1,11,171,2821
1,11,172,0
1,11,173,0
1,11,174,0
1,11,175,0
1,11,176,0
1,11,177,0
1,11,178,0
1,11,179,0
1,11,180,0
